City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Rikitea,PF,77.99,light rain,-23.1203,-134.9692,People ThankYou
5,Avarua,CK,78.85,haze,-21.2078,-159.775,Paradise Inn
10,Kailua,US,76.75,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
11,Xique-Xique,BR,73.2,broken clouds,-10.8218,-42.7263,Hotel J. Macedo
12,Hobart,AU,84.11,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
15,Dalby,AU,86.99,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
19,Vaini,TO,81.46,scattered clouds,-21.2,-175.2,Keleti Beach Resort
22,Labuhan,ID,80.6,overcast clouds,-6.8844,112.2051,DoubleFAG
24,Port Elizabeth,ZA,74.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
27,Manono,CD,71.37,overcast clouds,-7.3,27.4167,Hotel hewa bora
28,Eyl,SO,78.96,overcast clouds,7.9803,49.8164,Amiin Hotel
34,Meulaboh,ID,85.46,clear sky,4.1363,96.1285,Kost Pria
38,Cabo San Lucas,MX,71.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
43,Atuona,PF,78.91,broken clouds,-9.8,-139.0333,Villa Enata
55,Kavieng,PG,83.16,light rain,-2.5744,150.7967,Nusa Island Retreat
56,Kourou,GF,76.1,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
62,Puerto Ayora,EC,72.7,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Hilo,US,73.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
67,Mar Del Plata,AR,73.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
71,Rio Brilhante,BR,70.2,few clouds,-21.8019,-54.5464,Hotel Cattani
72,Corralillo,CU,70.65,clear sky,22.9819,-80.5856,Hostal De Pedri
73,Amahai,ID,83.52,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
75,Souillac,MU,84.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
76,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
78,New Norfolk,AU,82.76,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
80,Quang Ngai,VN,77.52,overcast clouds,15.1167,108.8,Central Hotel
83,Hithadhoo,MV,82.09,overcast clouds,-0.6,73.0833,Scoop Guest House
85,Peruibe,BR,75.97,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
90,Dong Hoi,VN,70.57,overcast clouds,17.4833,106.6,Nam Long Hotel
92,Puerto Rondon,CO,76.3,scattered clouds,6.2805,-71.1,Urbanización Santa Clara
93,Arraial Do Cabo,BR,74.79,clear sky,-22.9661,-42.0278,Pousada Porto Praia
95,De Aar,ZA,73.18,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
98,Fernandopolis,BR,72.05,clear sky,-20.2839,-50.2464,Ramada Encore by Wyndham Fernandopolis
104,Victoria,HK,71.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
107,Bambous Virieux,MU,84.45,light rain,-20.3428,57.7575,Casa Tia Villa
108,Kapit,MY,81.3,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
110,Ipixuna,BR,76.95,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
112,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
115,Butaritari,KI,81.95,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
117,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
121,Ambulu,ID,83.77,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
122,Sandy Bay,AU,83.16,few clouds,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
124,Luganville,VU,84.47,few clouds,-15.5333,167.1667,The Espiritu Hotel
127,Kavaratti,IN,80.69,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
129,Quelimane,MZ,73.35,scattered clouds,-17.8786,36.8883,Hotel Flamingo
136,Phalombe,MW,71.24,clear sky,-15.8064,35.6507,RIVONIA
138,Dwarka,IN,75.96,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
140,Mareeba,AU,81.32,light rain,-17.0,145.4333,Trinity Plains Tourist Park
142,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
149,Anastacio,BR,71.91,broken clouds,-20.4836,-55.8069,HOTEL ARARAS
152,Piacabucu,BR,78.03,clear sky,-10.4056,-36.4344,Piaçabuçu News
153,Caravelas,BR,73.69,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
154,Cidreira,BR,76.19,scattered clouds,-30.1811,-50.2056,Hotel Castelo
155,Port Alfred,ZA,74.86,overcast clouds,-33.5906,26.891,The Halyards Hotel
158,El Retorno,CO,72.48,broken clouds,2.3302,-72.6276,Hostal la posada de Rita
159,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
163,East London,ZA,72.54,broken clouds,-33.0153,27.9116,Tu Casa
169,Nanakuli,US,76.71,overcast clouds,21.3906,-158.1547,Camp Pālehua
172,Kalugumalai,IN,85.08,overcast clouds,9.15,77.7167,Ganesh Bhavan(Sangu Hotel)
174,Pyay,MM,85.86,clear sky,18.8167,95.2167,Shwe Pyi Thar
178,Santa Cruz,BO,72.86,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
181,Vanimo,PG,83.12,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
182,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
184,Bandarbeyla,SO,79.52,broken clouds,9.4942,50.8122,JABIR HOTEL
186,Kokopo,PG,81.0,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
189,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
193,Guarapari,BR,76.89,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
202,Salta,AR,72.19,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
206,Garowe,SO,73.09,overcast clouds,8.4054,48.4845,Curubo Hotel
209,Batemans Bay,AU,72.99,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
211,Acapulco,MX,74.98,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
212,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
214,Dingle,PH,84.18,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
