City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Busselton,-33.65,115.3333,106.05,27,2,14.41,AU,clear sky
1,Punta Arenas,-53.15,-70.9167,53.71,82,0,4.61,CL,clear sky
2,Kapaa,22.0752,-159.319,75.18,79,0,6.91,US,clear sky
3,Rikitea,-23.1203,-134.9692,77.99,78,99,11.63,PF,light rain
4,Saldanha,-33.0117,17.9442,66.18,72,0,9.82,ZA,clear sky
5,Avarua,-21.2078,-159.775,78.85,94,100,20.71,CK,haze
6,Alghero,40.5589,8.3181,50.09,66,20,8.05,IT,few clouds
7,Castro,-24.7911,-50.0119,62.96,91,41,1.5,BR,scattered clouds
8,Tornio,65.8481,24.1466,24.82,72,4,16.2,FI,clear sky
9,Mataura,-46.1927,168.8643,57.47,61,69,8.61,NZ,broken clouds
10,Kailua,21.4022,-157.7394,76.75,84,75,6.91,US,moderate rain
11,Xique-Xique,-10.8218,-42.7263,73.2,74,64,6.93,BR,broken clouds
12,Hobart,-42.8794,147.3294,84.11,48,20,1.01,AU,few clouds
13,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,40,14.97,CA,light snow
14,Cape Town,-33.9258,18.4232,67.12,74,0,1.99,ZA,clear sky
15,Dalby,-27.1833,151.2667,86.99,31,6,5.01,AU,clear sky
16,Bozeman,45.6796,-111.0386,32.74,83,100,1.99,US,overcast clouds
17,Utica,43.1009,-75.2327,3.31,73,57,2.93,US,broken clouds
18,Ushuaia,-54.8,-68.3,49.17,94,8,4.54,AR,clear sky
19,Vaini,-21.2,-175.2,81.46,81,28,16.46,TO,scattered clouds
20,Ancud,-41.8697,-73.8203,54.23,90,33,7.14,CL,scattered clouds
21,Bredasdorp,-34.5322,20.0403,65.28,70,4,12.15,ZA,clear sky
22,Labuhan,-6.8844,112.2051,80.6,77,100,7.07,ID,overcast clouds
23,Saryozek,44.3583,77.9753,34.92,58,2,7.02,KZ,clear sky
24,Port Elizabeth,-33.918,25.5701,74.1,83,75,13.8,ZA,broken clouds
25,Yellowknife,62.456,-114.3525,-6.59,86,100,16.11,CA,light snow
26,Airai,-8.9266,125.4092,61.93,95,100,3.8,TL,overcast clouds
27,Manono,-7.3,27.4167,71.37,92,91,2.66,CD,overcast clouds
28,Eyl,7.9803,49.8164,78.96,63,87,19.73,SO,overcast clouds
29,Olafsvik,64.8945,-23.7142,42.15,87,100,29.71,IS,heavy intensity rain
